i, 0, Q, 1, method, 1, obj, -325.63195635, running time, 0.563997983932, 
i, 0, Q, 1, method, 2, obj, -343.449100513, running time, 0.84438586235, 
i, 0, Q, 1, method, relaxed, obj, -250.038793558, running time, 0.125774860382, 
i, 0, Q, 2, method, 1, obj, -314.190488302, running time, 6.08934116364, 
i, 0, Q, 2, method, 2, obj, -334.212754316, running time, 2.59205985069, 
i, 0, Q, 2, method, relaxed, obj, -250.038793558, running time, 0.124727964401, 
i, 0, Q, 3, method, 1, obj, -309.988821392, running time, 86.9465210438, 
i, 0, Q, 3, method, 2, obj, -330.467773766, running time, 8.10144400597, 
i, 0, Q, 3, method, relaxed, obj, -250.038793558, running time, 0.123021125793, 
i, 0, Q, 4, method, 1, obj, -306.409080148, running time, 56.1438670158, 
i, 0, Q, 4, method, 2, obj, -335.426847147, running time, 38.823581934, 
i, 0, Q, 4, method, relaxed, obj, -250.038793558, running time, 0.121790885925, 
i, 0, Q, 5, method, 1, obj, -305.474088579, running time, 600.366966009, 
i, 0, Q, 5, method, 2, obj, -329.78325073, running time, 27.0909769535, 
i, 0, Q, 5, method, relaxed, obj, -250.038793558, running time, 0.116512060165, 
i, 0, Q, 6, method, 1, obj, -303.107219654, running time, 46.8946020603, 
i, 0, Q, 6, method, 2, obj, -329.02570298, running time, 96.8600409031, 
i, 0, Q, 6, method, relaxed, obj, -250.038793558, running time, 0.121701955795, 
i, 0, Q, 7, method, 2, obj, -328.921626005, running time, 84.6114799976, 
i, 0, Q, 7, method, relaxed, obj, -250.038793558, running time, 0.122303962708, 
i, 0, Q, 8, method, 2, obj, -328.160327092, running time, 203.906011105, 
i, 0, Q, 8, method, relaxed, obj, -250.038793558, running time, 0.110780000687, 
i, 0, Q, 9, method, 2, obj, -326.878167322, running time, 244.954174995, 
i, 0, Q, 9, method, relaxed, obj, -250.038793558, running time, 0.117528915405, 
i, 0, Q, 10, method, 2, obj, -329.701057654, running time, 295.052480936, 
i, 0, Q, 10, method, relaxed, obj, -250.038793558, running time, 0.125052928925, 
i, 1, Q, 1, method, 1, obj, -598.231865756, running time, 0.705552816391, 
i, 1, Q, 1, method, 2, obj, -600.767332068, running time, 1.30726313591, 
i, 1, Q, 1, method, relaxed, obj, -389.412223469, running time, 0.117558956146, 
i, 1, Q, 2, method, 1, obj, -597.500756448, running time, 13.8577709198, 
i, 1, Q, 2, method, 2, obj, -602.486508802, running time, 9.34974002838, 
i, 1, Q, 2, method, relaxed, obj, -389.412223469, running time, 0.124315977097, 
i, 1, Q, 3, method, 1, obj, -557.289590951, running time, 42.4788529873, 
i, 1, Q, 3, method, 2, obj, -561.567228239, running time, 37.0053520203, 
i, 1, Q, 3, method, relaxed, obj, -389.412223469, running time, 0.110749006271, 
i, 1, Q, 4, method, 1, obj, -561.240296751, running time, 231.72455287, 
i, 1, Q, 4, method, 2, obj, -567.814330124, running time, 202.122768879, 
i, 1, Q, 4, method, relaxed, obj, -389.412223469, running time, 0.125064849854, 
