i, 0, Q, 1, method, 1, obj, -1344.246981, running time, 0.0611879825592, 
i, 0, Q, 1, method, 2, obj, -1478.29457682, running time, 0.136549949646, 
i, 0, Q, 1, method, relaxed, obj, -871.940309239, running time, 0.0473918914795, 
i, 0, Q, 2, method, 1, obj, -1085.74873194, running time, 0.21369099617, 
i, 0, Q, 2, method, 2, obj, -1060.17901957, running time, 0.232997179031, 
i, 0, Q, 2, method, relaxed, obj, -871.940309239, running time, 0.0474460124969, 
i, 0, Q, 3, method, 1, obj, -1054.55379579, running time, 0.34911608696, 
i, 0, Q, 3, method, 2, obj, -1063.54726026, running time, 0.307415962219, 
i, 0, Q, 3, method, relaxed, obj, -871.940309239, running time, 0.0478360652924, 
i, 0, Q, 4, method, 1, obj, -994.968604738, running time, 0.60375213623, 
i, 0, Q, 4, method, 2, obj, -992.318375497, running time, 0.366289138794, 
i, 0, Q, 4, method, relaxed, obj, -871.940309239, running time, 0.0449831485748, 
i, 0, Q, 5, method, 1, obj, -994.36657265, running time, 0.703525066376, 
i, 0, Q, 5, method, 2, obj, -1057.1612732, running time, 0.458160161972, 
i, 0, Q, 5, method, relaxed, obj, -871.940309239, running time, 0.0445780754089, 
i, 0, Q, 6, method, 1, obj, -986.304236111, running time, 0.829296112061, 
i, 0, Q, 6, method, 2, obj, -973.749276216, running time, 0.562523841858, 
i, 0, Q, 6, method, relaxed, obj, -871.940309239, running time, 0.0566048622131, 
i, 0, Q, 7, method, 1, obj, -956.117482236, running time, 0.936558008194, 
i, 0, Q, 7, method, 2, obj, -999.095665077, running time, 0.694722890854, 
i, 0, Q, 7, method, relaxed, obj, -871.940309239, running time, 0.047483921051, 
i, 0, Q, 8, method, 1, obj, -972.646776397, running time, 1.28145813942, 
i, 0, Q, 8, method, 2, obj, -972.653625626, running time, 0.890198945999, 
i, 0, Q, 8, method, relaxed, obj, -871.940309239, running time, 0.0505268573761, 
i, 0, Q, 9, method, 1, obj, -953.196986762, running time, 1.57184004784, 
i, 0, Q, 9, method, 2, obj, -987.780801791, running time, 0.765527009964, 
i, 0, Q, 9, method, relaxed, obj, -871.940309239, running time, 0.0460610389709, 
i, 0, Q, 10, method, 1, obj, -959.386394782, running time, 1.48104906082, 
i, 0, Q, 10, method, 2, obj, -968.449849694, running time, 0.818917989731, 
i, 0, Q, 10, method, relaxed, obj, -871.940309239, running time, 0.0454499721527, 
i, 1, Q, 1, method, 1, obj, -1411.48522165, running time, 0.0668630599976, 
i, 1, Q, 1, method, 2, obj, -1452.91875865, running time, 0.116904973984, 
i, 1, Q, 1, method, relaxed, obj, -716.007447096, running time, 0.0265500545502, 
i, 1, Q, 2, method, 1, obj, -1094.13062339, running time, 0.200331926346, 
i, 1, Q, 2, method, 2, obj, -935.488386573, running time, 0.223251104355, 
i, 1, Q, 2, method, relaxed, obj, -716.007447096, running time, 0.0258429050446, 
i, 1, Q, 3, method, 1, obj, -1087.0660789, running time, 0.373361825943, 
i, 1, Q, 3, method, 2, obj, -935.488386573, running time, 0.257081031799, 
i, 1, Q, 3, method, relaxed, obj, -716.007447096, running time, 0.026239156723, 
i, 1, Q, 4, method, 1, obj, -1087.42645666, running time, 0.416798830032, 
i, 1, Q, 4, method, 2, obj, -911.144187386, running time, 0.417644023895, 
i, 1, Q, 4, method, relaxed, obj, -716.007447096, running time, 0.0268151760101, 
i, 1, Q, 5, method, 1, obj, -1071.07267204, running time, 0.51035284996, 
i, 1, Q, 5, method, 2, obj, -935.488386573, running time, 0.449527025223, 
i, 1, Q, 5, method, relaxed, obj, -716.007447096, running time, 0.026554107666, 
i, 1, Q, 6, method, 1, obj, -1040.19467557, running time, 0.518932104111, 
i, 1, Q, 6, method, 2, obj, -911.144187386, running time, 0.585481882095, 
i, 1, Q, 6, method, relaxed, obj, -716.007447096, running time, 0.025661945343, 
i, 1, Q, 7, method, 1, obj, -1049.25970368, running time, 0.663206100464, 
i, 1, Q, 7, method, 2, obj, -911.144187386, running time, 0.622159004211, 
i, 1, Q, 7, method, relaxed, obj, -716.007447096, running time, 0.0282509326935, 
i, 1, Q, 8, method, 1, obj, -1043.89877993, running time, 0.688868999481, 
i, 1, Q, 8, method, 2, obj, -911.144187386, running time, 0.80091714859, 
i, 1, Q, 8, me
