i, 0, maxT, 5, method, 1, obj, -304.534879796, running time, 41.25583601, 
i, 0, maxT, 5, method, 2, obj, -331.477839948, running time, 86.80341506, 
i, 0, maxT, 5, method, relaxed, obj, -291.912337811, running time, 0.16002202034, 
i, 0, maxT, 10, method, 1, obj, -298.023624445, running time, 2.50406098366, 
i, 0, maxT, 10, method, 2, obj, -303.383767825, running time, 1.69683098793, 
i, 0, maxT, 10, method, relaxed, obj, -291.912337811, running time, 0.124174833298, 
i, 0, maxT, 15, method, 1, obj, -297.870030632, running time, 2.40011191368, 
i, 0, maxT, 15, method, 2, obj, -302.403439366, running time, 1.46760797501, 
i, 0, maxT, 15, method, relaxed, obj, -291.912337811, running time, 0.112253904343, 
i, 0, maxT, 20, method, 1, obj, -298.026479325, running time, 2.44626808167, 
i, 0, maxT, 20, method, 2, obj, -305.559737567, running time, 1.66054320335, 
i, 0, maxT, 20, method, relaxed, obj, -291.912337811, running time, 0.118355989456, 
i, 0, maxT, 25, method, 1, obj, -297.760030377, running time, 2.07824206352, 
i, 0, maxT, 25, method, 2, obj, -303.319850206, running time, 1.63448691368, 
i, 0, maxT, 25, method, relaxed, obj, -291.912337811, running time, 0.123994112015, 
i, 0, maxT, 30, method, 1, obj, -298.334353785, running time, 2.871281147, 
i, 0, maxT, 30, method, 2, obj, -303.346983212, running time, 1.4493060112, 
i, 0, maxT, 30, method, relaxed, obj, -291.912337811, running time, 0.119283914566, 
i, 0, maxT, 35, method, 1, obj, -297.947842621, running time, 2.10241794586, 
i, 0, maxT, 35, method, 2, obj, -303.259050565, running time, 1.55571603775, 
i, 0, maxT, 35, method, relaxed, obj, -291.912337811, running time, 0.12458896637, 
i, 0, maxT, 40, method, 1, obj, -298.218159086, running time, 2.39658498764, 
i, 0, maxT, 40, method, 2, obj, -303.29892371, running time, 1.41782999039, 
i, 0, maxT, 40, method, relaxed, obj, -291.912337811, running time, 0.103852987289, 
i, 0, maxT, 2, method, 1, obj, -277.438980497, running time, 5.9206430912, 
i, 0, maxT, 2, method, 2, obj, -387.377739624, running time, 10.4743750095, 
i, 0, maxT, 2, method, relaxed, obj, -164.372393039, running time, 0.120259046555, 
i, 0, maxT, 4, method, 1, obj, -197.263631623, running time, 83.4152960777, 
i, 0, maxT, 4, method, 2, obj, -210.362632946, running time, 5.67510819435, 
i, 0, maxT, 4, method, relaxed, obj, -164.372393039, running time, 0.124311208725, 
i, 0, maxT, 6, method, 1, obj, -193.027389511, running time, 600.235527039, 
i, 0, maxT, 6, method, 2, obj, -195.886634347, running time, 3.67536401749, 
i, 0, maxT, 6, method, relaxed, obj, -164.372393039, running time, 0.286634922028, 
i, 0, maxT, 8, method, 1, obj, -192.526281399, running time, 38.0416779518, 
i, 0, maxT, 8, method, 2, obj, -196.297010096, running time, 3.08842301369, 
i, 0, maxT, 8, method, relaxed, obj, -164.372393039, running time, 0.114057064056, 
i, 0, maxT, 10, method, 1, obj, -192.526281399, running time, 26.3294658661, 
i, 0, maxT, 10, method, 2, obj, -195.534029513, running time, 2.43691086769, 
i, 0, maxT, 10, method, relaxed, obj, -164.372393039, running time, 0.13823890686, 
i, 0, maxT, 12, method, 1, obj, -192.526281399, running time, 36.926500082, 
i, 0, maxT, 12, method, 2, obj, -196.82961635, running time, 3.03093099594, 
i, 0, maxT, 12, method, relaxed, obj, -164.372393039, running time, 0.112596988678, 
i, 0, maxT, 14, method, 1, obj, -192.359245361, running time, 42.9656801224, 
i, 0, maxT, 14, method, 2, obj, -197.649022011, running time, 2.81107592583, 
i, 0, maxT, 14, method, relaxed, obj, -164.372393039, running time, 0.13427400589, 
i, 0, maxT, 16, method, 1, obj, -192.526281399, running time, 78.5440878868, 
i, 0, maxT, 16, method, 2, obj, -196.013334812, running time, 2.04621005058, 
i, 0, maxT, 16, method, relaxed, obj, -164.372393039, running time, 0.127078056335, 
i, 0, maxT, 18, method, 1, obj, -192.362732802, running time, 33.7373950481, 
i, 0, maxT, 18, method, 2, obj, -195.702325756, running time, 2.39730882645, 
i, 0, maxT, 18, method, relaxed, obj, -164.372393039, running time, 0.122501850128, 
i, 0, maxT, 20, method, 1, obj, -192.359245361, running time, 28.0700490475, 
i, 0, maxT, 20, method, 2, obj, -197.131910439, running time, 2.58118605614, 
i, 0, maxT, 20, method, relaxed, obj, -164.372393039, running time, 0.117259025574, 
