i, 0, maxT, 1, method, 1, obj, -1998.0, running time, 0.470498800278, 
i, 0, maxT, 1, method, 2, obj, -1998.0, running time, 1.14651799202, 
i, 0, maxT, 1, method, relaxed, obj, -1022.02372068, running time, 0.138773202896, 
i, 0, maxT, 2, method, 1, obj, -1155.37036282, running time, 6.06101703644, 
i, 0, maxT, 2, method, 2, obj, -1155.43053828, running time, 2.30766487122, 
i, 0, maxT, 2, method, relaxed, obj, -1022.02372068, running time, 0.139994859695, 
i, 0, maxT, 3, method, 1, obj, -1081.21440844, running time, 2.9230568409, 
i, 0, maxT, 3, method, 2, obj, -1095.49253754, running time, 2.33685016632, 
i, 0, maxT, 3, method, relaxed, obj, -1022.02372068, running time, 0.12168097496, 
i, 0, maxT, 4, method, 1, obj, -1077.55673111, running time, 3.84414720535, 
i, 0, maxT, 4, method, 2, obj, -1078.59569014, running time, 1.74232387543, 
i, 0, maxT, 4, method, relaxed, obj, -1022.02372068, running time, 0.134151935577, 
i, 0, maxT, 5, method, 1, obj, -1076.39800655, running time, 3.08584499359, 
i, 0, maxT, 5, method, 2, obj, -1091.4466348, running time, 2.20458388329, 
i, 0, maxT, 5, method, relaxed, obj, -1022.02372068, running time, 0.163250923157, 
i, 0, maxT, 6, method, 1, obj, -1075.59267542, running time, 2.24091887474, 
i, 0, maxT, 6, method, 2, obj, -1083.19614854, running time, 1.9934990406, 
i, 0, maxT, 6, method, relaxed, obj, -1022.02372068, running time, 0.209380865097, 
i, 0, maxT, 7, method, 1, obj, -1078.45251574, running time, 2.90794491768, 
i, 0, maxT, 7, method, 2, obj, -1084.27246808, running time, 1.93779087067, 
i, 0, maxT, 7, method, relaxed, obj, -1022.02372068, running time, 0.169893026352, 
i, 0, maxT, 8, method, 1, obj, -1075.43629503, running time, 2.30579996109, 
i, 0, maxT, 8, method, 2, obj, -1077.78827571, running time, 1.7687048912, 
i, 0, maxT, 8, method, relaxed, obj, -1022.02372068, running time, 0.134294033051, 
i, 0, maxT, 9, method, 1, obj, -1075.85253826, running time, 1.43255090714, 
i, 0, maxT, 9, method, 2, obj, -1083.23471512, running time, 1.76915216446, 
i, 0, maxT, 9, method, relaxed, obj, -1022.02372068, running time, 0.159144163132, 
i, 0, maxT, 10, method, 1, obj, -1075.43629503, running time, 2.63736891747, 
i, 0, maxT, 10, method, 2, obj, -1077.10106215, running time, 1.81098508835, 
i, 0, maxT, 10, method, relaxed, obj, -1022.02372068, running time, 0.170356035233, 
i, 1, maxT, 1, method, 1, obj, -1242.58314986, running time, 0.38890504837, 
i, 1, maxT, 1, method, 2, obj, -1605.1964764, running time, 1.17251491547, 
i, 1, maxT, 1, method, relaxed, obj, -695.503716205, running time, 0.163511037827, 
